name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_first_gw,team_strength,team_strength_overall_home,team_strength_overall_away,team_strength_attack_home,team_strength_attack_away,team_strength_defence_home,team_strength_defence_away,season
Leandro Trossard,Arsenal,154,MID,8,13,8,1,0,38,0,0,0,0,8,65,4,1245,1285,1250,1250,1240,1320,2022-23
Granit Xhaka,Arsenal,153,MID,7,8,13,4,0,35,0,0,0,0,15,50,4,1245,1285,1250,1250,1240,1320,2022-23
Son Heung-min,Spurs,152,MID,10,6,9,2,0,55,0,0,0,0,8,120,3,1155,1220,1140,1210,1170,1230,2022-23
Bryan Mbeumo,Brentford,150,FWD,9,9,10,5,0,39,0,0,0,0,19,60,3,1115,1180,1100,1160,1130,1200,2022-23
José Malheiro de Sá,Wolves,148,GK,0,0,11,2,0,55,0,0,2,108,18,50,3,1080,1090,1100,1100,1060,1080,2022-23
Solly March,Brighton,147,MID,6,10,10,2,0,40,0,0,0,0,16,50,3,1170,1175,1140,1150,1200,1200,2022-23
Gabriel dos Santos Magalhães,Arsenal,146,DEF,3,0,14,5,0,43,0,0,0,0,15,50,4,1245,1285,1250,1250,1240,1320,2022-23
Morgan Gibbs-White,Nott'm Forest,145,MID,5,12,8,6,0,61,0,0,0,0,11,55,3,1050,1100,1065,1100,1030,1105,2022-23
Jarrod Bowen,West Ham,145,MID,6,9,9,2,0,50,0,1,0,0,9,85,3,1100,1130,1145,1150,1060,1110,2022-23
Aaron Ramsdale,Arsenal,143,GK,0,0,14,1,0,43,0,0,0,94,9,50,4,1245,1285,1250,1250,1240,1320,2022-23
Ben Mee,Brentford,143,DEF,3,2,12,2,0,40,0,0,0,0,11,45,3,1115,1180,1100,1160,1130,1200,2022-23
James Ward-Prowse,Southampton,142,MID,9,4,4,6,0,72,1,2,0,0,18,65,2,1065,1070,1070,1070,1060,1080,2022-23
Bernd Leno,Fulham,142,GK,0,0,8,3,0,51,0,0,1,144,17,45,3,1095,1100,1070,1065,1120,1140,2022-23
Phil Foden,Man City,142,MID,11,7,5,1,0,16,0,0,0,0,15,80,5,1350,1360,1340,1340,1360,1380,2022-23
Douglas Luiz Soares de Paulo,Aston Villa,142,MID,6,7,13,6,1,35,0,0,0,0,17,50,3,1070,1100,1070,1075,1070,1130,2022-23
Alexis Mac Allister,Brighton,140,MID,10,2,10,8,0,45,1,0,0,0,18,55,3,1170,1175,1140,1150,1200,1200,2022-23
Fabian Schär,Newcastle,139,DEF,1,3,15,7,0,28,1,0,0,0,6,45,4,1210,1260,1250,1300,1165,1220,2022-23
Kaoru Mitoma,Brighton,138,MID,7,9,8,0,0,35,0,0,0,0,11,50,3,1170,1175,1140,1150,1200,1200,2022-23
Harvey Barnes,Leicester,138,MID,13,2,6,3,0,51,0,0,0,0,0,70,3,1130,1115,1065,1110,1200,1120,2022-23
Jacob Ramsey,Aston Villa,135,MID,6,8,11,5,0,33,1,0,0,0,13,55,3,1070,1100,1070,1075,1070,1130,2022-23
James Maddison,Leicester,135,MID,10,9,4,10,0,54,0,1,0,0,9,80,3,1130,1115,1065,1110,1200,1120,2022-23
Emiliano Martínez Romero,Aston Villa,135,GK,0,0,11,7,0,38,1,0,1,98,15,50,3,1070,1100,1070,1075,1070,1130,2022-23
Jack Harrison,Leeds,134,MID,5,8,6,2,0,55,1,0,0,0,15,60,3,1100,1090,1070,1075,1130,1120,2022-23
Michael Olise,Crystal Palace,132,MID,2,11,8,2,0,38,0,0,0,0,15,55,3,1085,1100,1110,1110,1060,1090,2022-23
Ilkay Gündogan,Man City,132,MID,8,6,10,0,0,20,0,1,0,0,9,75,5,1350,1360,1340,1340,1360,1380,2022-23
Mathias Jensen,Brentford,132,MID,5,7,10,5,0,40,0,0,0,0,11,50,3,1115,1180,1100,1160,1130,1200,2022-23
Tyrone Mings,Aston Villa,130,DEF,1,3,12,7,0,40,1,0,0,0,17,45,3,1070,1100,1070,1075,1070,1130,2022-23
Dominic Solanke,Bournemouth,130,FWD,6,10,8,2,0,52,0,0,0,0,14,60,2,1035,1095,1020,1110,1050,1080,2022-23
Dan Burn,Newcastle,129,DEF,1,0,14,5,0,30,0,0,0,0,6,45,4,1210,1260,1250,1300,1165,1220,2022-23
Sven Botman,Newcastle,129,DEF,0,2,13,2,0,30,0,0,0,0,8,45,4,1210,1260,1250,1300,1165,1220,2022-23
Lukasz Fabianski,West Ham,127,GK,0,0,9,1,0,48,0,0,1,109,10,50,3,1100,1130,1145,1150,1060,1110,2022-23
Virgil van Dijk,Liverpool,127,DEF,3,1,11,3,0,36,0,0,0,0,13,65,4,1220,1275,1180,1250,1260,1300,2022-23
Rodrigo Moreno,Leeds,127,MID,13,2,5,6,0,43,0,0,0,0,6,60,3,1100,1090,1070,1075,1130,1120,2022-23
Alex Iwobi,Everton,126,MID,2,8,9,2,0,56,0,0,0,0,9,55,3,1055,1095,1070,1100,1040,1090,2022-23
Riyad Mahrez,Man City,126,MID,5,12,6,2,0,23,0,0,0,0,11,80,5,1350,1360,1340,1340,1360,1380,2022-23
Dwight McNeil,Everton,126,MID,7,5,5,5,0,46,0,0,0,0,14,55,3,1055,1095,1070,1100,1040,1090,2022-23
Philip Billing,Bournemouth,126,MID,7,2,9,5,0,54,0,0,0,0,14,55,2,1035,1095,1020,1110,1050,1080,2022-23
Gabriel Fernando de Jesus,Arsenal,125,FWD,11,7,9,6,0,23,0,0,0,0,17,80,4,1245,1285,1250,1250,1240,1320,2022-23
Jordan Pickford,Everton,124,GK,0,1,8,6,0,57,0,0,1,124,10,45,3,1055,1095,1070,1100,1040,1090,2022-23
Luke Shaw,Man Utd,124,DEF,1,4,12,8,0,35,0,0,0,0,20,50,3,1155,1220,1140,1220,1165,1220,2022-23
Andreas Hoelgebaum Pereira,Fulham,123,MID,4,10,8,8,0,40,0,0,0,0,9,45,3,1095,1100,1070,1065,1120,1140,2022-23
Joe Willock,Newcastle,123,MID,3,7,12,1,0,26,0,0,0,0,11,50,4,1210,1260,1250,1300,1165,1220,2022-23
Brennan Johnson,Nott'm Forest,122,FWD,8,5,7,6,0,54,0,2,0,0,15,60,3,1050,1100,1065,1100,1030,1105,2022-23
Ederson Santana de Moraes,Man City,121,GK,0,1,11,3,0,32,0,0,0,46,8,55,5,1350,1360,1340,1340,1360,1380,2022-23
Andrew Robertson,Liverpool,121,DEF,0,8,9,3,0,34,0,0,0,0,10,70,4,1220,1275,1180,1250,1260,1300,2022-23
Jack Grealish,Man City,121,MID,5,10,10,4,0,16,0,0,0,0,9,70,5,1350,1360,1340,1340,1360,1380,2022-23
Pierre-Emile Højbjerg,Spurs,120,MID,4,5,10,5,0,57,0,0,0,0,10,55,3,1155,1220,1140,1210,1170,1230,2022-23
Kepa Arrizabalaga,Chelsea,118,GK,0,0,9,1,0,33,0,0,0,91,15,45,3,1165,1220,1190,1220,1140,1220,2022-23
Rúben da Silva Neves,Wolves,118,MID,6,2,10,12,0,48,0,0,0,0,16,55,3,1080,1090,1100,1100,1060,1080,2022-23
William Saliba,Arsenal,117,DEF,2,1,12,4,0,25,1,0,0,0,14,45,4,1245,1285,1250,1250,1240,1320,2022-23
Emiliano Buendía Stati,Aston Villa,117,MID,5,3,11,0,0,34,0,0,0,0,8,60,3,1070,1100,1070,1075,1070,1130,2022-23
Declan Rice,West Ham,116,MID,4,3,9,5,0,50,0,1,0,0,12,50,3,1100,1130,1145,1150,1060,1110,2022-23
Joelinton Cássio Apolinário de Lira,Newcastle,115,MID,6,5,11,12,0,26,0,0,0,0,10,60,4,1210,1260,1250,1300,1165,1220,2022-23
Timothy Castagne,Leicester,114,DEF,2,4,8,3,0,63,0,0,0,0,11,45,3,1130,1115,1065,1110,1200,1120,2022-23
Lewis Dunk,Brighton,112,DEF,1,1,12,4,0,50,1,0,0,0,7,45,3,1170,1175,1140,1150,1200,1200,2022-23
Ethan Pinnock,Brentford,112,DEF,3,0,10,0,0,34,1,0,0,0,6,45,3,1115,1180,1100,1160,1130,1200,2022-23
Rico Henry,Brentford,112,DEF,0,3,11,4,0,46,0,0,0,0,4,45,3,1115,1180,1100,1160,1130,1200,2022-23
Yoane Wissa,Brentford,111,MID,7,4,7,3,0,17,0,0,0,0,6,55,3,1115,1180,1100,1160,1130,1200,2022-23
Ezri Konsa Ngoyo,Aston Villa,110,DEF,0,0,12,6,0,45,0,0,0,0,6,45,3,1070,1100,1070,1075,1070,1130,2022-23
Max Kilman,Wolves,109,DEF,0,1,11,3,0,56,0,0,0,0,12,45,3,1080,1090,1100,1100,1060,1080,2022-23
Rodrigo Hernandez,Man City,108,MID,2,6,11,5,0,26,0,0,0,0,7,60,5,1350,1360,1340,1340,1360,1380,2022-23
Harrison Reed,Fulham,107,MID,3,4,9,5,0,44,1,0,0,0,9,45,3,1095,1100,1070,1065,1120,1140,2022-23
Bruno Guimarães Rodriguez Moura,Newcastle,107,MID,4,5,12,7,0,25,0,0,0,0,5,60,4,1210,1260,1250,1300,1165,1220,2022-23
Aleksandar Mitrović,Fulham,107,FWD,14,2,7,7,0,30,0,4,0,0,14,65,3,1095,1100,1070,1065,1120,1140,2022-23
Bernardo Veiga de Carvalho e Silva,Man City,106,MID,4,6,7,5,0,24,0,0,0,0,9,70,5,1350,1360,1340,1340,1360,1380,2022-23
Saïd Benrahma,West Ham,106,MID,6,3,6,0,0,32,0,0,0,0,5,60,3,1100,1130,1145,1150,1060,1110,2022-23
James Tarkowski,Everton,106,DEF,1,1,9,6,0,57,0,0,0,0,13,45,3,1055,1095,1070,1100,1040,1090,2022-23
Jadon Sancho,Man Utd,105,MID,6,3,13,0,0,18,0,0,0,0,8,75,3,1155,1220,1140,1220,1165,1220,2022-23
Jordan Ayew,Crystal Palace,104,MID,4,3,8,5,0,41,0,0,0,0,4,55,3,1085,1100,1110,1110,1060,1090,2022-23
Roberto Firmino,Liverpool,104,FWD,11,4,4,0,0,17,0,0,0,0,12,80,4,1220,1275,1180,1250,1260,1300,2022-23
Christian Eriksen,Man Utd,103,MID,1,9,13,3,0,25,0,0,0,0,8,65,3,1155,1220,1140,1220,1165,1220,2022-23
Julián Álvarez,Man City,103,FWD,9,3,5,0,0,16,0,0,0,0,14,65,5,1350,1360,1340,1340,1360,1380,2022-23
Kai Havertz,Chelsea,102,FWD,7,1,9,5,0,31,0,0,0,0,13,80,3,1165,1220,1190,1220,1140,1220,2022-23
Diogo Dalot Teixeira,Man Utd,102,DEF,1,2,10,6,0,34,0,0,0,0,19,45,3,1155,1220,1140,1220,1165,1220,2022-23
Raheem Sterling,Chelsea,101,MID,6,4,5,4,0,27,0,0,0,0,9,100,3,1165,1220,1190,1220,1140,1220,2022-23
Jefferson Lerma Solís,Bournemouth,101,MID,5,0,7,7,0,67,1,0,0,0,5,50,2,1035,1095,1020,1110,1050,1080,2022-23
Taiwo Awoniyi,Nott'm Forest,100,FWD,10,1,5,2,0,29,0,0,0,0,16,60,3,1050,1100,1065,1100,1030,1105,2022-23
Tomas Soucek,West Ham,100,MID,2,4,8,3,0,42,0,0,0,0,6,55,3,1100,1130,1145,1150,1060,1110,2022-23
Leon Bailey,Aston Villa,100,MID,4,5,8,4,0,32,0,0,0,0,6,50,3,1070,1100,1070,1075,1070,1130,2022-23
Darwin Núñez Ribeiro,Liverpool,100,FWD,9,5,7,1,1,22,0,0,0,0,8,90,4,1220,1275,1180,1250,1260,1300,2022-23
Vicente Guaita,Crystal Palace,99,GK,0,0,6,1,0,34,0,0,0,85,10,45,3,1085,1100,1110,1110,1060,1090,2022-23
Oleksandr Zinchenko,Arsenal,99,DEF,1,2,10,3,0,28,0,0,0,0,8,50,4,1245,1285,1250,1250,1240,1320,2022-23
Ben Davies,Liverpool,99,DEF,2,3,9,4,0,33,0,0,0,0,3,40,4,1220,1275,1180,1250,1260,1300,2022-23
Ben Davies,Spurs,99,DEF,2,3,9,4,0,33,0,0,0,0,3,40,3,1155,1220,1140,1210,1170,1230,2022-23
Tim Ream,Fulham,98,DEF,1,0,8,2,0,44,0,0,0,0,12,45,3,1095,1100,1070,1065,1120,1140,2022-23
Danny Ings,West Ham,97,FWD,8,2,5,4,0,26,0,0,0,0,13,70,3,1100,1130,1145,1150,1060,1110,2022-23
Eric Dier,Spurs,96,DEF,2,1,9,3,0,52,0,0,0,0,5,50,3,1155,1220,1140,1210,1170,1230,2022-23
Dejan Kulusevski,Spurs,96,MID,2,7,8,2,0,40,0,0,0,0,5,80,3,1155,1220,1140,1210,1170,1230,2022-23
Joël Veltman,Brighton,95,DEF,1,1,10,6,0,29,0,0,0,0,6,45,3,1170,1175,1140,1150,1200,1200,2022-23
Marc Guéhi,Crystal Palace,95,DEF,1,0,9,8,0,46,1,0,0,0,2,45,3,1085,1100,1110,1110,1060,1090,2022-23
Wilfried Zaha,Crystal Palace,95,MID,7,2,5,5,0,34,0,2,0,0,6,70,3,1085,1100,1110,1110,1060,1090,2022-23
Ivan Perišić,Spurs,94,DEF,1,8,6,6,0,44,0,0,0,0,6,55,3,1155,1220,1140,1210,1170,1230,2022-23
Che Adams,Southampton,94,FWD,5,5,4,1,0,41,0,0,0,0,9,65,2,1065,1070,1070,1070,1060,1080,2022-23
Marcus Tavernier,Bournemouth,94,MID,5,4,5,1,0,37,0,0,0,0,12,50,2,1035,1095,1020,1110,1050,1080,2022-23
Tyrick Mitchell,Crystal Palace,93,DEF,0,2,8,5,1,40,0,0,0,0,7,45,3,1085,1100,1110,1110,1060,1090,2022-23
John Stones,Man City,93,DEF,2,2,7,2,0,17,1,0,0,0,13,55,5,1350,1360,1340,1340,1360,1380,2022-23
Sean Longstaff,Newcastle,93,MID,1,5,13,2,0,18,0,0,0,0,2,45,4,1210,1260,1250,1300,1165,1220,2022-23
Antonee Robinson,Fulham,93,DEF,0,2,9,8,0,44,0,0,0,0,5,45,3,1095,1100,1070,1065,1120,1140,2022-23
Nathan Aké,Man City,92,DEF,1,0,9,2,0,15,0,0,0,0,9,50,5,1350,1360,1340,1340,1360,1380,2022-23
Daniel Castelo Podence,Wolves,92,MID,6,1,6,5,0,31,0,0,0,0,10,55,3,1080,1090,1100,1100,1060,1080,2022-23
Danny Welbeck,Brighton,91,FWD,6,5,6,0,0,28,0,0,0,0,5,65,3,1170,1175,1140,1150,1200,1200,2022-23
Danny Ward,Leicester,91,GK,0,0,6,0,0,46,0,0,1,77,12,40,3,1130,1115,1065,1110,1200,1120,2022-23
Demarai Gray,Everton,91,MID,4,1,7,3,0,39,0,0,0,0,4,55,3,1055,1095,1070,1100,1040,1090,2022-23
Illan Meslier,Leeds,90,GK,0,0,5,3,0,67,0,0,0,94,8,45,3,1100,1090,1070,1075,1130,1120,2022-23
Kenny Tete,Fulham,90,DEF,1,5,7,8,0,36,0,0,0,0,1,45,3,1095,1100,1070,1065,1120,1140,2022-23
John McGinn,Aston Villa,90,MID,1,5,10,7,0,31,0,0,0,0,3,55,3,1070,1100,1070,1075,1070,1130,2022-23
Bobby De Cordova-Reid,Fulham,90,MID,4,1,8,8,0,40,0,0,0,0,3,55,3,1095,1100,1070,1065,1120,1140,2022-23
Hugo Lloris,Spurs,89,GK,0,0,7,0,0,39,1,0,0,79,12,55,3,1155,1220,1140,1210,1170,1230,2022-23
Jeffrey Schlupp,Crystal Palace,89,MID,3,2,9,7,0,38,0,0,0,0,2,50,3,1085,1100,1110,1110,1060,1090,2022-23
Kurt Zouma,West Ham,88,DEF,2,1,7,0,0,29,0,0,0,0,8,45,3,1100,1130,1145,1150,1060,1110,2022-23
Ashley Young,Aston Villa,87,DEF,1,0,9,7,0,28,0,0,0,0,8,45,3,1070,1100,1070,1075,1070,1130,2022-23
Thomas Partey,Arsenal,86,MID,3,0,11,5,0,28,0,0,0,0,6,50,4,1245,1285,1250,1250,1240,1320,2022-23
Emerson Leite de Souza Junior,Spurs,86,DEF,2,2,7,2,1,27,0,0,0,0,9,50,3,1155,1220,1140,1210,1170,1230,2022-23
Youri Tielemans,Leicester,86,MID,3,3,6,4,0,49,0,1,0,0,6,65,3,1130,1115,1065,1110,1200,1120,2022-23
Vitaly Janelt,Brentford,85,MID,3,1,8,3,0,28,0,0,0,0,5,55,3,1115,1180,1100,1160,1130,1200,2022-23
Michail Antonio,West Ham,84,FWD,5,3,5,2,0,29,0,0,0,0,4,75,3,1100,1130,1145,1150,1060,1110,2022-23
Gavin Bazunu,Southampton,84,GK,0,0,4,0,0,56,0,0,1,69,3,45,2,1065,1070,1070,1070,1060,1080,2022-23
João Palhinha Gonçalves,Fulham,83,MID,3,0,9,14,0,43,1,0,0,0,5,50,3,1095,1100,1070,1065,1120,1140,2022-23
Brenden Aaronson,Leeds,83,MID,1,4,5,2,0,58,0,0,0,0,0,55,3,1100,1090,1070,1075,1130,1120,2022-23
Odsonne Edouard,Crystal Palace,82,FWD,5,2,5,3,0,25,0,0,0,0,5,55,3,1085,1100,1110,1110,1060,1090,2022-23
Kelechi Iheanacho,Leicester,82,FWD,5,5,1,0,0,23,0,0,0,0,9,65,3,1130,1115,1065,1110,1200,1120,2022-23
Mason Mount,Chelsea,82,MID,3,4,8,4,0,21,0,0,0,0,8,80,3,1165,1220,1190,1220,1140,1220,2022-23
Robert Sánchez,Brighton,82,GK,0,0,6,2,0,30,0,0,1,48,10,45,3,1170,1175,1140,1150,1200,1200,2022-23
Kiernan Dewsbury-Hall,Leicester,82,MID,2,3,7,3,1,41,0,0,0,0,5,50,3,1130,1115,1065,1110,1200,1120,2022-23
Dean Henderson,Nott'm Forest,82,GK,0,0,6,2,0,31,0,0,2,54,12,45,3,1050,1100,1065,1100,1030,1105,2022-23
Jamie Vardy,Leicester,82,FWD,3,5,4,1,0,38,0,1,0,0,4,95,3,1130,1115,1065,1110,1200,1120,2022-23
Josh Dasilva,Brentford,81,MID,4,2,5,1,0,17,0,0,0,0,3,45,3,1115,1180,1100,1160,1130,1200,2022-23
Lisandro Martínez,Man Utd,81,DEF,1,0,9,6,0,33,0,0,0,0,6,45,3,1155,1220,1140,1220,1165,1220,2022-23
Rúben Gato Alves Dias,Man City,80,DEF,0,0,9,3,0,16,0,0,0,0,1,60,5,1350,1360,1340,1340,1360,1380,2022-23
Joachim Andersen,Crystal Palace,80,DEF,1,0,8,8,0,37,2,0,0,0,1,45,3,1085,1100,1110,1110,1060,1090,2022-23
Thiago Emiliano da Silva,Chelsea,80,DEF,0,2,6,2,0,32,0,0,0,0,8,55,3,1165,1220,1190,1220,1140,1220,2022-23
Diogo Teixeira da Silva,Liverpool,80,FWD,7,4,5,2,0,19,0,0,0,0,9,90,4,1220,1275,1180,1250,1260,1300,2022-23
Moisés Caicedo Corozo,Brighton,79,MID,1,1,10,10,0,47,0,0,0,0,0,50,3,1170,1175,1140,1150,1200,1200,2022-23
Jorge Luiz Frello Filho,Arsenal,79,MID,2,2,9,4,0,23,0,0,0,0,5,60,4,1245,1285,1250,1250,1240,1320,2022-23
Issa Diop,Fulham,79,DEF,1,0,7,2,0,26,0,0,0,0,8,45,3,1095,1100,1070,1065,1120,1140,2022-23
Jacob Murphy,Newcastle,78,MID,4,2,3,0,0,12,0,0,0,0,2,45,4,1210,1260,1250,1300,1165,1220,2022-23
Joel Ward,Crystal Palace,78,DEF,1,0,8,6,0,35,0,0,0,0,5,45,3,1085,1100,1110,1110,1060,1090,2022-23
Raphaël Varane,Man Utd,77,DEF,0,0,10,1,0,22,1,0,0,0,2,50,3,1155,1220,1140,1220,1165,1220,2022-23
Conor Coady,Everton,77,DEF,1,1,7,2,0,28,0,0,0,0,5,50,3,1055,1095,1070,1100,1040,1090,2022-23
Abdoulaye Doucouré,Everton,76,MID,5,2,4,6,1,27,0,0,0,0,10,55,3,1055,1095,1070,1100,1040,1090,2022-23
Adam Webster,Brighton,75,DEF,0,0,9,2,0,27,1,0,0,0,3,45,3,1170,1175,1140,1150,1200,1200,2022-23
Vitalii Mykolenko,Everton,75,DEF,0,1,7,4,0,46,0,0,0,0,4,45,3,1055,1095,1070,1100,1040,1090,2022-23
Craig Dawson,Wolves,75,DEF,1,1,7,6,0,31,0,0,0,0,7,50,3,1080,1090,1100,1100,1060,1080,2022-23
Nélson Cabral Semedo,Wolves,75,DEF,0,1,8,11,1,43,0,0,0,0,5,50,3,1080,1090,1100,1100,1060,1080,2022-23
Kalidou Koulibaly,Chelsea,74,DEF,2,1,6,5,1,22,0,0,0,0,8,55,3,1165,1220,1190,1220,1140,1220,2022-23
Aaron Cresswell,West Ham,74,DEF,0,1,6,3,0,32,0,0,0,0,8,50,3,1100,1130,1145,1150,1060,1110,2022-23
Adam Smith,Bournemouth,74,DEF,0,1,7,11,0,58,0,0,0,0,5,45,2,1035,1095,1020,1110,1050,1080,2022-23
Crysencio Summerville,Leeds,74,MID,4,4,1,4,0,38,0,0,0,0,4,45,3,1100,1090,1070,1075,1130,1120,2022-23
Cheick Doucouré,Crystal Palace,74,MID,0,3,7,8,1,41,0,0,0,0,3,50,3,1085,1100,1110,1110,1060,1090,2022-23
João Cancelo,Man City,73,DEF,2,2,6,3,1,16,0,0,0,0,10,70,5,1350,1360,1340,1340,1360,1380,2022-23
Romain Perraud,Southampton,71,DEF,2,2,4,4,0,35,1,0,0,0,5,45,2,1065,1070,1070,1070,1060,1080,2022-23
Pablo Fornals Malla,West Ham,71,MID,3,1,1,0,0,28,0,0,0,0,6,55,3,1100,1130,1145,1150,1060,1110,2022-23
Christian Nørgaard,Brentford,71,MID,1,6,6,6,0,23,0,0,0,0,6,55,3,1115,1180,1100,1160,1130,1200,2022-23
Rodrigo Bentancur,Spurs,71,MID,5,2,6,8,0,24,0,0,0,0,7,55,3,1155,1220,1140,1210,1170,1230,2022-23
Patson Daka,Leicester,70,FWD,4,4,5,2,0,24,0,0,0,0,3,60,3,1130,1115,1065,1110,1200,1120,2022-23
Patrick Bamford,Leeds,70,FWD,4,5,1,3,0,31,0,2,0,0,3,75,3,1100,1090,1070,1075,1130,1120,2022-23
Fabio Henrique Tavares,Liverpool,70,MID,0,2,11,11,0,34,0,0,0,0,0,55,4,1220,1275,1180,1250,1260,1300,2022-23
Ben Chilwell,Chelsea,70,DEF,2,3,4,3,0,19,0,0,0,0,4,60,3,1165,1220,1190,1220,1140,1220,2022-23
Jordan Henderson,Liverpool,69,MID,0,3,8,2,0,30,0,0,0,0,0,55,4,1220,1275,1180,1250,1260,1300,2022-23
Kyle Walker,Man City,69,DEF,0,0,7,3,0,20,0,0,0,0,0,50,5,1350,1360,1340,1340,1360,1380,2022-23
Harry Wilson,Fulham,68,MID,2,5,2,1,0,15,0,0,0,0,2,60,3,1095,1100,1070,1065,1120,1140,2022-23
Joseph Gomez,Liverpool,68,DEF,0,0,8,3,0,16,0,0,0,0,8,45,4,1220,1275,1180,1250,1260,1300,2022-23
Anthony Gordon,Newcastle,68,MID,4,0,4,7,0,18,0,0,0,0,5,55,4,1210,1260,1250,1300,1165,1220,2022-23
Marc Roca Junqué,Leeds,67,MID,1,3,2,7,0,60,0,0,0,0,3,50,3,1100,1090,1070,1075,1130,1120,2022-23
Aaron Wan-Bissaka,Man Utd,67,DEF,0,0,8,2,0,10,0,0,0,0,3,45,3,1155,1220,1140,1220,1165,1220,2022-23
Anthony Martial,Man Utd,66,FWD,6,3,7,0,0,8,0,0,0,0,4,70,3,1155,1220,1140,1220,1165,1220,2022-23
Conor Gallagher,Chelsea,66,MID,3,1,4,9,1,23,0,0,0,0,7,60,3,1165,1220,1190,1220,1140,1220,2022-23
Adama Traoré Diarra,Wolves,66,MID,2,4,2,2,0,30,0,0,0,0,0,55,3,1080,1090,1100,1100,1060,1080,2022-23
Pascal Struijk,Leeds,66,DEF,2,2,4,5,0,52,0,0,0,0,4,45,3,1100,1090,1070,1075,1130,1120,2022-23
Allan Saint-Maximin,Newcastle,66,MID,1,6,4,1,0,14,0,0,0,0,4,65,4,1210,1260,1250,1300,1165,1220,2022-23
Cristian Romero,Spurs,66,DEF,0,2,8,9,1,41,0,0,0,0,3,50,3,1155,1220,1140,1210,1170,1230,2022-23
Jason Steele,Brighton,65,GK,0,1,6,1,0,23,1,0,1,37,8,40,3,1170,1175,1140,1150,1200,1200,2022-23
Marc Cucurella Saseta,Chelsea,65,DEF,0,2,6,4,0,20,0,0,0,0,1,50,3,1165,1220,1190,1220,1140,1220,2022-23
